                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0961,                 1.3689,                 1.2024,                0.66316,                0.52965,                0.61432,                0.45577,                 1.0817,                 1.1188,                 1.1238,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2148,                 1.4382,                  1.268,                0.69135,                0.53594,                0.63177,                0.46771,                 1.0781,                  1.077,                 1.1223,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1891,                 1.3262,                 1.2387,                0.68587,                0.54943,                0.64375,                0.47824,                 1.0714,                 1.0518,                 1.1188,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1393,                 1.2973,                 1.2369,                0.68877,                0.58271,                0.66367,                0.49127,                 1.0589,                 1.0266,                 1.1105,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.2147,                 1.3313,                 1.2282,                0.68943,                0.61689,                0.68855,                0.51003,                 1.0428,                 1.0015,                 1.0967,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1221,                 1.1632,                  1.197,                0.69743,                0.62295,                0.70068,                0.52497,                 1.0321,                0.98767,                 1.0893,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1249,                 1.1768,                 1.2002,                0.70449,                0.63576,                0.71499,                0.53176,                 1.0251,                  0.968,                  1.084,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.0813,                 1.1249,                 1.1625,                0.74643,                0.65513,                0.72661,                0.54261,                 1.0187,                0.94046,                 1.0801,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0859,                 1.0987,                 1.1655,                0.74163,                0.67335,                0.73919,                0.54942,                 1.0137,                0.91073,                 1.0761,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0698,                 1.1171,                 1.1756,                0.74297,                0.67784,                0.74306,                0.55136,                 1.0032,                0.88763,                 1.0699,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.1134,                 1.0914,                 1.1726,                0.72273,                0.68825,                0.75392,                0.56779,                0.98949,                0.85831,                 1.0609,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0164,                 1.0452,                 1.1405,                0.77092,                0.68505,                0.76372,                0.57508,                 0.9812,                0.83648,                 1.0549,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0757,                 1.0324,                  1.183,                0.80645,                0.67863,                0.76891,                0.58471,                0.97265,                0.81659,                 1.0507,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0715,                  1.074,                 1.1521,                0.77435,                0.69898,                0.77948,                0.59233,                0.96956,                0.80606,                 1.0479,             0.00010486,             0.00010486,             0.00010486
                     15,                 1.0861,                 1.0561,                 1.1508,                0.76886,                0.72157,                0.78553,                0.59845,                0.97056,                0.79803,                  1.046,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0522,                 1.0155,                 1.1448,                 0.7953,                0.72557,                0.80465,                0.61316,                0.96353,                0.78412,                 1.0423,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0295,                 1.0404,                 1.1415,                0.80687,                  0.734,                0.80925,                0.62006,                0.94626,                 0.7709,                 1.0352,             0.00010133,             0.00010133,             0.00010133
                     18,                 1.0478,                0.98116,                 1.1375,                0.80619,                0.72961,                0.81205,                 0.6232,                0.92712,                  0.755,                 1.0263,             0.00010015,             0.00010015,             0.00010015
                     19,                0.98819,                0.96143,                 1.1366,                0.81341,                0.71119,                0.81446,                0.62687,                0.91631,                0.74466,                   1.02,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                0.97369,                0.92343,                 1.1106,                0.83873,                0.71002,                0.82225,                0.63726,                0.90787,                 0.7346,                 1.0144,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 1.0126,                0.93359,                 1.1225,                0.84495,                0.72249,                0.82637,                0.64293,                0.90558,                0.71896,                 1.0123,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 1.0153,                0.91776,                 1.1289,                0.87887,                0.72075,                0.82844,                0.64371,                0.90383,                0.71063,                  1.011,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                      1,                0.92195,                 1.0975,                0.81269,                0.76849,                0.83528,                0.64991,                0.89924,                0.70024,                 1.0068,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.95308,                0.90612,                 1.0956,                0.82278,                0.75967,                 0.8351,                 0.6529,                0.89655,                0.69854,                 1.0055,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.97102,                0.89857,                 1.1014,                0.81798,                0.77465,                 0.8342,                0.64687,                0.89235,                0.69608,                 1.0038,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                0.97481,                 0.9334,                 1.1159,                0.83839,                0.76408,                0.83644,                0.64507,                0.88558,                0.68756,                 1.0008,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.98601,                0.89611,                 1.1198,                0.83278,                0.75653,                0.83452,                0.64663,                0.87808,                 0.6776,                0.99842,             8.9547e-05,             8.9547e-05,             8.9547e-05
